sec p0 p1 p2 mag
3534537575 426990 6262590 5000 1.8
3534527209 428562 6261410 5000 2.1
3534517116 1119040 6386320 10000 2.6
3534506252 963377 6768070 5000 2
3534500820 428609 6262520 5000 1.8
3534497693 427752 6261450 5000 1.6
3534496830 427705 6260340 5000 1.8
3534494383 428562 6261410 5000 2
3534463974 373111 6256220 5000 1.9
3534463450 494689 6198880 5000 2.5
3534448887 1035200 6374600 5000 2.6
3534429081 1008670 6378800 5000 1.7
3534390799 1121080 6258380 10000 2.1
3534389094 650534 6145750 5000 2
3534339246 280159 6713670 10000 2.9
3534327219 457758 6643750 5000 2.1
3534300356 996861 6392690 5000 1.6
3534294634 131322 6849980 10000 2.2
3534282529 284361 6632090 10000 2.5
3534264264 510718 6187260 5000 2
3534251870 1017810 6371470 5000 1.8
3534247677 983565 6575510 5000 1.2
3534245582 1005330 6381980 5000 1.4
3534242236 1032860 6447890 5000 2.1
3534239992 603720 6574110 5000 2.3
3534238805 1031320 6342130 5000 1.1
3534235549 932292 7014990 10000 2.1
3534221264 1044860 6358430 5000 1.5
3534205269 596836 6666420 5000 2.1
3534204499 596836 6666420 5000 3.2
3534186616 642230 6139140 5000 1.1
3534180989 642230 6139140 5000 1.8
3534168333 1224980 6671850 10000 3.1
3534165550 1031260 6343240 5000 2
3534149834 637375 6149200 5000 1.6
3534140365 704071 6226750 5000 2.2
3534135072 550454 6204020 5000 2.2
3534128941 1025280 6702180 5000 3.1
3534112722 426381 6229240 5000 1.7
3534110560 405473 6889750 5000 2.2
3534096424 975180 6640720 5000 1.6
3534093191 471845 6224120 5000 1.8
3534082649 1036470 6365770 5000 1.8
3534076127 1051480 6368810 5000 2.1
3534043718 653752 6134600 5000 1.2
3534039953 1032020 6448960 5000 1.9
3534034802 693811 6546700 5000 1.8
3534033002 408220 6277890 5000 1.7
3534002608 1033600 6404550 5000 1.6
3533994870 940671 7134700 10000 2.6
3533982559 344329 6235480 5000 1.9
3533937997 1046890 6534310 10000 2.3
3533930365 992308 6711590 5000 1.9
3533929167 1166730 6864320 10000 2.3
3533916270 459063 6231270 5000 1.7
3533912588 1001270 7023830 5000 2
3533906596 1112360 6242220 10000 2.2
3533891614 990721 6387950 5000 1.8
3533886831 1242930 6529620 10000 2.5
3533885149 700000 6503390 5000 1.9
3533884583 701559 6502280 5000 1.9
3533878259 1073780 6784070 5000 1.6
3533870863 692116 6430090 10000 2.3
3533866607 1115390 6245750 10000 2.5
3533854335 1035580 6382410 5000 1.2
3533850718 1205950 6140700 10000 2.3
3533849579 1019160 6453840 5000 1.1
3533832670 714767 6177840 5000 1.7
3533825302 1050720 6494480 5000 2.1
3533820080 1187380 6390140 10000 2.3
3533781982 683739 6541160 5000 2
3533756033 1038860 6365900 5000 1.6
3533753300 1020840 6769810 5000 1.4
3533730068 1064350 6311670 5000 1.7
3533729849 1065020 6313940 5000 1.5
3533712281 423365 6234930 5000 2
3533684850 972712 6453850 5000 1.8
3533683958 1089330 6830750 10000 1.4
3533644068 1046460 6387450 5000 1.6
3533614634 995850 6380410 5000 2.6
3533568919 809834 7024650 5000 2
3533562562 1009440 6395520 5000 1.3
3533546006 450287 6236050 5000 2
3533522232 1026950 6455360 5000 1.9
3533519765 1210360 6637150 10000 2.4
3533498511 1130380 6301330 10000 3.3
3533482077 405222 6230170 5000 2.2
3533476026 1131530 6308090 10000 1.7
3533470619 1085460 6899580 10000 2.3
3533453616 1110740 6379090 10000 2.4
3533446332 1058030 7031620 10000 2
3533406323 433215 6236740 5000 2
3533367916 1015280 6468100 5000 1.8
3533365068 1216650 6644370 10000 2.2
3533350142 530604 6464610 5000 2.3
3533314271 430892 6220140 5000 2.1
3533298744 986528 6410000 5000 1.6
3533294628 614846 6190620 5000 1.7
3533266620 450970 6232690 5000 1.2
3533266355 1032220 6385570 5000 1.8
3533223472 999029 6380560 5000 1.9
3533166248 607461 6189610 5000 2.1
3533153975 1134150 6836140 5000 2.2
3533146985 976887 6303920 5000 1.6
3533146704 1023470 6550820 10000 1.5
3533139289 466877 6222080 5000 1.7
3533134967 1054220 6711620 5000 2.3
3533078125 478488 6203870 5000 1.7
3533074145 1103400 6765980 5000 1.5
3533040436 924727 6320760 5000 1.9
3533017402 1036850 6373580 5000 3
3533011760 1044180 6356170 5000 1.7
3532999612 315120 6797030 5000 2.3
3532986197 680034 6086610 5000 1.7
3532976801 1028020 6389800 5000 1.7
3532954994 351354 6199460 5000 1.7
3532918133 1053870 6588100 10000 2.1
3532910088 698442 6503390 5000 2
3532906229 664264 6093360 5000 1.9
3532905876 655145 6096750 10000 2.2
3532888954 619360 6591650 5000 1.9
3532875005 1206780 6140770 10000 1.8
3532874067 1206690 6141870 10000 2.2
3532874025 1205950 6140700 10000 1.8
3532865961 1146250 6362580 5000 2.2
3532852077 1208990 6144290 10000 2.7
3532849671 1208990 6144290 10000 2.8
3532848080 1204960 6142860 10000 2.2
3532847435 1209820 6144350 10000 2.8
3532845055 1201970 6149320 10000 2.8
3532844981 1202140 6147100 10000 2.2
3532839734 571974 6639120 5000 2.1
3532834271 1207340 6144160 10000 1.9
3532829585 989260 6402340 5000 1.6
3532825220 1209820 6144350 10000 1.8
3532812231 937781 6482420 5000 2
3532802497 474442 6205120 5000 1.3
3532754239 287562 6645230 10000 2.6
3532737422 986353 6548960 5000 1.4
3532725410 988354 6438990 5000 1.5
3532721916 404204 6225770 5000 2.1
3532721625 1223420 6637160 10000 2.8
3532704556 1070390 6290870 5000 1.7
3532704269 361634 6223410 5000 1.5
3532696974 634903 6149230 5000 1.9
3532695870 1032520 6761550 5000 1.4
3532680464 995386 6407080 5000 1.3
3532680276 1035960 6390220 5000 2.4
3532680144 252418 6805950 10000 2
3532652744 428307 6216910 5000 1.3
3532645884 444198 6226280 5000 1.9
3532640202 452771 6215930 5000 1.2
3532639636 526597 6167900 5000 2.3
3532630852 988568 6551290 5000 2
3532573402 476037 6203950 5000 1.3
3532566747 1135640 6445350 10000 3
3532564431 326225 6218690 5000 1.9
3532556026 323650 6216610 5000 1.8
3532555889 329358 6216280 5000 2.7
3532550144 1002850 6350710 5000 2.2
3532548849 350384 6241830 5000 1.2
3532545568 1031480 7008800 10000 2.5
3532543785 1032020 6374430 5000 1.7
3532533053 464311 6218830 5000 1.4
3532527538 406239 6234580 5000 1.9
3532526251 351055 6193910 5000 1.5
3532506131 389415 6189730 5000 1.5
3532489099 1209900 6143240 10000 2.2
3532488010 1209820 6144350 10000 1.9
3532487736 1207520 6141940 10000 2.3
3532487209 1209900 6143240 10000 1.9
3532486839 1208990 6144290 10000 2.2
3532486081 1209820 6144350 10000 2.6
3532483744 1212380 6143440 10000 2.2
3532483705 1058610 6284630 5000 2.2
3532482142 376889 6218180 5000 1.6
3532481027 944413 7129280 10000 2.7
3532455406 482424 6199280 5000 1.2
3532441023 1210640 6144420 10000 2.4
3532440335 624541 6179370 5000 2.2
3532425601 375173 6232730 5000 1.5
3532405976 626220 6182690 5000 2.2
3532403855 1087620 6566790 10000 2
3532391823 336885 6219190 5000 1
3532385879 360991 6211200 5000 1.1
3532356900 372203 6238450 5000 1.6
3532323555 988059 6411180 5000 1.5
3532317922 336885 6219190 5000 0.9
3532317355 335381 6221510 5000 2
3532269960 959859 7068610 10000 2.4
3532267823 472031 6206320 5000 1.3
3532263576 343468 6219940 5000 2.7
3532262427 967988 6781620 5000 2.4
3532243961 612940 6045960 5000 2.3
3532213565 1081270 6772300 5000 2.1
3532209848 312449 6207250 5000 1.8
3532199365 355746 6580870 10000 2.8
3532184143 466958 6224300 5000 1.3
3532180897 717772 6276800 5000 1.9
3532166201 975212 6468410 5000 1.9
3532155404 1002060 6727650 5000 1.6
3532128025 150688 7040360 10000 2.9
3532114736 1209130 6642620 10000 2.2
3532080210 405579 6237950 5000 2.1
3532063506 645678 6253660 5000 1.2
3532062907 1218560 6640080 5000 2.2
3532062776 1215890 6653230 10000 3
3532059168 390351 6563440 10000 2.1
3532027448 472652 6200730 5000 1.3
3532018543 467812 6225380 5000 1.6
3531964538 1078090 6494990 10000 2.1
3531959081 938441 6254530 5000 2
3531945018 503963 6180790 5000 1.8
3531936154 367336 6223120 5000 1.2
3531851259 977722 6447400 5000 1.1
3531842682 666921 6581210 5000 1.9
3531827492 424658 6227080 5000 1.6
3531826494 1063250 6773380 5000 1.7
3531815125 459490 6198980 5000 1.3
3531806830 426723 6218090 5000 2.1
3531785947 467441 6237630 5000 0.7
3531780660 667607 6565660 5000 1.5
3531776240 1024340 6635380 10000 2.2
3531772359 370521 6237420 5000 2.4
3531701593 1140600 6779790 10000 1.8
3531697949 645678 6253660 5000 1.5
3531682150 365543 6204280 5000 0.9
3531592881 362452 6238960 5000 0.8
3531591404 335255 6219290 5000 1.3
3531569744 501401 6177530 5000 1.9
3531555791 336070 6219240 5000 1.3
3531543559 502255 6178620 5000 1.8
3531537172 467812 6225380 5000 1.6
3531534581 369365 6230800 5000 2.4
3531531077 1012540 6348960 5000 2.1
3531502414 1018990 6457170 5000 1.6
3531499995 346341 6227580 5000 1.1
3531494285 532377 6168860 5000 1.7
3531484421 334503 6220440 5000 1.2
3531482144 1000410 6385070 5000 1.9
3531458395 1002260 6540830 5000 1.7
3531452984 991555 6553660 5000 1.9
3531449309 1005750 6389780 5000 1.5
3531446795 328898 6194030 5000 1.2
3531445329 334188 6214890 5000 1.8
3531444215 334815 6197040 5000 2
3531443697 333116 6196020 5000 2
3531443204 326315 6191950 5000 1.5
3531443026 329345 6201800 5000 1.6
3531442898 330789 6198380 5000 2.1
3531442827 328643 6189590 2000 1.1
3531442363 334563 6207070 10000 2.1
3531442321 332677 6202730 5000 1.7
3531442000 329716 6193980 5000 2
3531416696 331931 6218360 5000 1.4
3531415244 331116 6218410 5000 1.5
3531415094 326976 6217530 5000 1.9
3531414259 343085 6227760 5000 2.1
3531401670 1036590 6565980 10000 2.2
3531341164 333562 6218270 5000 1.4
3531338588 329486 6218500 5000 1.8
3531308048 1010590 6372220 5000 2
3531286876 907206 6751370 5000 2.3
3531273637 1062500 6724360 5000 2.3
3531257712 913361 6575980 5000 2.4
3531254286 463455 6217750 5000 1.8
3531252103 1008870 7028700 10000 1.8
3531201778 548533 6191830 5000 2.6
3531190259 330165 6258550 5000 1.8
3531163170 465295 6200990 5000 1.2
3531129356 326175 6073810 5000 2.7
3531119327 446189 6193930 5000 1.5
3531110543 1050200 6363180 5000 1.6
3531084876 468883 6209770 5000 2.4
3531084680 536681 6176540 5000 1.8
3531080645 785597 6455110 5000 1.8
3531080094 784842 6452880 5000 2.1
3531076088 466408 6186490 5000 1.3
3531066768 459738 6205650 5000 1.2
3531060099 998520 6569560 5000 1.3
3531051031 646479 6252540 5000 1.5
3531013703 932141 6486650 5000 1.8
3531012499 1069300 6911890 10000 1.9
3530990531 1037100 6986820 2000 1.8
3530984987 1034820 6366790 5000 1.3
3530983494 1135150 6822840 10000 1.7
3530983218 1138760 6824230 10000 1.9
3530978438 358366 6208000 5000 1
3530971720 501573 6209790 5000 1.4
3530966029 400547 6234840 5000 1.8
3530942845 1049760 6370940 5000 1.9
3530899431 1000770 6393990 5000 1.5
3530898863 1032860 6343330 5000 1.6
3530882614 388948 6230940 5000 1.4
3530873074 375261 6250540 5000 1.8
3530855657 935351 6484550 5000 1.8
3530850984 1049340 6364240 5000 1.9
3530844565 358980 6250270 5000 1.6
3530833973 403748 6233580 5000 2.2
3530816367 406596 6224540 5000 2.2
3530806962 1081020 6315990 5000 1.6
3530805678 1125920 6295460 10000 1.9
3530802180 1117780 6623330 10000 2.5
3530771013 1131700 6829270 5000 2.1
3530728271 477878 6186080 5000 1.3
3530708294 1221550 6194390 5000 2
3530689922 438363 6223170 5000 1.6
3530650585 1001720 6407380 5000 0.9
3530634520 406905 6213400 5000 1.7
3530633617 411284 6219880 5000 1.4
3530631270 1000820 6409560 5000 1.5
3530629795 1143840 6825730 2000 1.8
3530620446 644867 6253670 5000 1.7
3530615036 468107 6210910 5000 2.3
3530584182 393423 6638900 10000 2.1
3530579396 644867 6253670 5000 1.7
3530556655 1144810 6832490 10000 2.1
3530550407 589142 6172100 5000 1.7
3530548911 1138120 6306320 10000 1.8
3530545926 644066 6254790 5000 2.5
3530544240 1232270 6544290 10000 2.1
3530531902 1133970 6296010 10000 2.5
3530505019 1015390 6527040 5000 1.9
3530474788 705804 6108850 10000 1.9
3530419767 469501 6204180 5000 1.6
3530406527 438227 6219840 5000 1.9
3530406183 438227 6219840 5000 1.4
3530406085 604138 6073920 10000 2.6
3530399523 683756 6242330 5000 2
3530394083 467170 6207600 5000 1
3530390852 1069110 6565640 10000 2
3530390133 467827 6203130 5000 1.7
3530384927 459780 6206760 5000 0.9
3530358983 1052270 6575770 10000 1.8
3530336412 414073 6282070 5000 2
3530323668 471963 6227460 5000 1.8
3530323437 440384 7058560 10000 2.4
3530301273 1046390 6359630 5000 2.7
3530253891 1114170 6597480 10000 2.3
3530249023 466797 6219860 5000 1.4
3530242868 472652 6200730 5000 1.2
3530242351 1002570 6389630 5000 1.4
3530240244 430846 6219030 5000 3.1
3530231806 1043190 6745470 5000 1.5
3530228650 371715 6212870 5000 0.5
3530228283 1035290 6561460 10000 1.5
3530225069 1036830 6561550 10000 1.9
3530223730 1033620 6563600 10000 2.8
3530220179 1036890 6560440 10000 1.8
3530219880 1032970 6561340 10000 2.3
3530203055 440807 6223080 5000 1.6
3530173805 1041610 6811050 10000 2.3
3530173657 1040130 6810960 10000 2.2
3530171198 1076880 6331330 5000 2
3530143907 468883 6209770 5000 2.2
3530141294 550676 6032590 10000 2
3530136027 376649 6553030 5000 2
3530128562 970839 6442650 5000 1.6
3530107176 1052110 6314320 5000 2.9
3530075277 471056 6201900 5000 1.4
3530073819 472652 6200730 5000 1.4
3530073751 471873 6201870 5000 2
3530046703 1041810 7016110 10000 2.6
3530021097 1084360 6313970 5000 1.9
3530002861 973056 6481660 5000 2.6
3529989652 385321 6189920 5000 1.8
3529955399 342239 6702930 5000 1.8
3529941141 611822 6024810 5000 1.9
3529938521 430431 6680490 5000 2.3
3529919573 1087430 6935390 10000 2.4
